 ispLEVER Classic 2.0.00.17.20.15 Fitter Report File 
Project Name,hw7
Project Path,U:\slei\hw7
Project Fitted on,Thu Mar 01 15:37:04 2007

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
104,I_O,1,G1,*,LVCMOS18,Input,AddrData10
105,I_O,1,G0,*,LVCMOS18,Input,AddrData9
106,VCCIO1,-,,,,,
107,TDO,-,,,,,
108,VCC,-,,,,,
109,GND,-,,,,,
110,NC,-,,,,,
111,I_O,1,H14,*,LVCMOS18,Input,AddrData8
112,I_O,1,H13,,,,
113,I_O,1,H12,*,LVCMOS18,Input,Control0
114,I_O,1,H10,*,LVCMOS18,Input,Control1
115,I_O,1,H9,*,LVCMOS18,Input,Control2
116,I_O,1,H8,*,LVCMOS18,Input,Control3
117,NC,-,,,,,
118,GNDIO1,-,,,,,
119,VCCIO1,-,,,,,
120,I_O,1,H6,*,LVCMOS18,Input,Control4
121,I_O,1,H5,*,LVCMOS18,Input,Control5
122,I_O,1,H4,*,LVCMOS18,Input,Control6
123,I_O,1,H2,*,LVCMOS18,Input,Control7
124,I_O,1,H1,*,LVCMOS18,Input,Control8
125,I_O/OE,1,H0,,,,
126,INCLK3,1,,,,,
127,GNDIO0,-,,,,,
128,INCLK0,0,,*,LVCMOS18,Input,Clock
129,VCC,-,,,,,
130,I_O/OE,0,A0,,,,
131,I_O,0,A1,*,LVCMOS18,Input,Control9
132,I_O,0,A2,*,LVCMOS18,Input,Control10
133,I_O,0,A4,*,LVCMOS18,Input,Control11
134,I_O,0,A5,*,LVCMOS18,Input,Control12
135,I_O,0,A6,*,LVCMOS18,Input,Control13
136,VCCIO0,-,,,,,
137,GNDIO0,-,,,,,
138,I_O,0,A8,*,LVCMOS18,Input,Control14
139,I_O,0,A9,*,LVCMOS18,Input,Control15
140,I_O,0,A10,*,LVCMOS18,Input,Control16
141,I_O,0,A12,*,LVCMOS18,Input,Control17
142,I_O,0,A13,*,LVCMOS18,Input,Control18
143,I_O,0,A14,*,LVCMOS18,Input,Control19
144,NC,-,,,,,
